UF;Municipio;DepAdm;EnsinoFund1_4;EnsinoFund5_8
Maranhao;AGUA DOCE DO MARANHAO;Municipal;1.727;604
Maranhao;ALCANTARA;Total;2.721;2.193
Maranhao;ALCANTARA;Estadual;263;349
Maranhao;ALCANTARA;Federal;77;75
Maranhao;ALCANTARA;Municipal;2.381;1.769
Maranhao;ALDEIAS ALTAS;Total;3.350;2.159
Maranhao;ALDEIAS ALTAS;Estadual;43;349
Maranhao;ALDEIAS ALTAS;Municipal;3.294;1.810
Maranhao;ALDEIAS ALTAS;Privada;13;0
Maranhao;ALTAMIRA DO MARANHAO;Total;1.183;612
Maranhao;ALTAMIRA DO MARANHAO;Estadual;0;0
Maranhao;ALTAMIRA DO MARANHAO;Municipal;1.183;612
Maranhao;ALTO ALEGRE DO MARANHAO;Total;2.942;1.900
Maranhao;ALTO ALEGRE DO MARANHAO;Estadual;173;218
Maranhao;ALTO ALEGRE DO MARANHAO;Municipal;2.769;1.682
Maranhao;ALTO ALEGRE DO PINDARE;Total;0;0
Maranhao;ALTO ALEGRE DO PINDARE;Estadual;0;0
Maranhao;ALTO ALEGRE DO PINDARE;Municipal;0;0
Maranhao;ALTO PARNAIBA;Total;1.728;1.047
Maranhao;ALTO PARNAIBA;Estadual;65;353
Maranhao;ALTO PARNAIBA;Municipal;1.531;557
Maranhao;ALTO PARNAIBA;Privada;132;137
Maranhao;AMAPA DO MARANHAO;Total;1.444;335
Maranhao;AMAPA DO MARANHAO;Estadual;0;0
Maranhao;AMAPA DO MARANHAO;Municipal;1.336;335
Maranhao;AMAPA DO MARANHAO;Privada;108;0
Maranhao;AMARANTE DO MARANHAO;Total;7.050;3.755
Maranhao;AMARANTE DO MARANHAO;Estadual;1.242;267
Maranhao;AMARANTE DO MARANHAO;Municipal;5.646;3.388
Maranhao;AMARANTE DO MARANHAO;Privada;162;100
Maranhao;ANAJATUBA;Total;3.397;2.270
Maranhao;ANAJATUBA;Estadual;0;350
Maranhao;ANAJATUBA;Municipal;3.385;1.894
Maranhao;ANAJATUBA;Privada;12;26
Maranhao;ANAPURUS;Total;3.690;1.813
Maranhao;ANAPURUS;Estadual;0;517
Maranhao;ANAPURUS;Municipal;3.690;1.296
Maranhao;ANAPURUS;Privada;0;0
Maranhao;APICUM-ACU;Total;1.358;1.089
Maranhao;APICUM-ACU;Estadual;0;124
Maranhao;APICUM-ACU;Municipal;1.358;965
Maranhao;ARAGUANA;Total;2.047;974
Maranhao;ARAGUANA;Estadual;98;0
Maranhao;ARAGUANA;Municipal;1.949;974
Maranhao;ARAIOSES;Total;6.350;3.143
Maranhao;ARAIOSES;Estadual;0;1.025
Maranhao;ARAIOSES;Municipal;6.350;2.118
Maranhao;ARAIOSES;Privada;0;0
Maranhao;ARAME;Total;6.790;1.519
Maranhao;ARAME;Estadual;1.355;473
Maranhao;ARAME;Municipal;5.315;1.006
Maranhao;ARAME;Privada;120;40
Maranhao;ARARI;Total;3.736;2.999
Maranhao;ARARI;Estadual;620;1.044
Maranhao;ARARI;Municipal;2.650;1.737
Maranhao;ARARI;Privada;466;218
Maranhao;AXIXA;Total;1.695;1.153
Maranhao;AXIXA;Estadual;87;279
Maranhao;AXIXA;Municipal;1.574;874
Maranhao;AXIXA;Privada;34;0
Maranhao;BACABAL;Total;14.256;8.570
Maranhao;BACABAL;Estadual;3.757;4.541
Maranhao;BACABAL;Municipal;9.293;3.133
Maranhao;BACABAL;Privada;1.206;896
Maranhao;BACABEIRA;Total;1.512;1.367
Maranhao;BACABEIRA;Estadual;0;0
Maranhao;BACABEIRA;Municipal;1.512;1.367
Maranhao;BACURI;Total;3.115;1.921
Maranhao;BACURI;Estadual;202;558
Maranhao;BACURI;Municipal;2.913;1.363
Maranhao;BACURITUBA;Total;690;452
Maranhao;BACURITUBA;Estadual;0;0
Maranhao;BACURITUBA;Municipal;690;452
Maranhao;BALSAS;Total;9.624;8.457
Maranhao;BALSAS;Estadual;1.226;2.532
Maranhao;BALSAS;Municipal;7.927;5.738
Maranhao;BALSAS;Privada;471;187
Maranhao;BARAO DE GRAJAU;Total;1.948;1.610
Maranhao;BARAO DE GRAJAU;Estadual;0;874
Maranhao;BARAO DE GRAJAU;Municipal;1.817;632
Maranhao;BARAO DE GRAJAU;Privada;131;104
Maranhao;BARRA DO CORDA;Total;14.495;8.280
Maranhao;BARRA DO CORDA;Estadual;2.115;2.444
Maranhao;BARRA DO CORDA;Municipal;11.796;5.557
Maranhao;BARRA DO CORDA;Privada;584;279
Maranhao;BARREIRINHAS;Total;8.355;5.739
Maranhao;BARREIRINHAS;Estadual;281;602
Maranhao;BARREIRINHAS;Municipal;8.074;5.137
Maranhao;BARREIRINHAS;Privada;0;0
Maranhao;BELA VISTA DO MARANHAO;Total;2.072;1.165
Maranhao;BELA VISTA DO MARANHAO;Estadual;0;0
Maranhao;BELA VISTA DO MARANHAO;Municipal;2.072;1.165
Maranhao;BELAGUA;Total;1.508;662
Maranhao;BELAGUA;Estadual;0;0
Maranhao;BELAGUA;Municipal;1.508;662
Maranhao;BENEDITO LEITE;Total;1.404;546
Maranhao;BENEDITO LEITE;Estadual;77;131
Maranhao;BENEDITO LEITE;Municipal;1.327;415
Maranhao;BEQUIMAO;Total;2.423;2.356
Maranhao;BEQUIMAO;Estadual;0;658
Maranhao;BEQUIMAO;Municipal;2.423;1.698
Maranhao;BERNARDO DO MEARIM;Total;608;515
Maranhao;BERNARDO DO MEARIM;Estadual;0;181
Maranhao;BERNARDO DO MEARIM;Municipal;575;334
Maranhao;BERNARDO DO MEARIM;Privada;33;0
Maranhao;BOA VISTA DO GURUPI;Total;1.069;637
Maranhao;BOA VISTA DO GURUPI;Estadual;0;0
Maranhao;BOA VISTA DO GURUPI;Municipal;1.069;637
Maranhao;BOM JARDIM;Total;8.618;2.746
Maranhao;BOM JARDIM;Estadual;253;342
Maranhao;BOM JARDIM;Municipal;8.344;2.404
Maranhao;BOM JARDIM;Privada;21;0
Maranhao;BOM JESUS DAS SELVAS;Total;3.992;1.541
Maranhao;BOM JESUS DAS SELVAS;Estadual;95;0
Maranhao;BOM JESUS DAS SELVAS;Municipal;3.897;1.541
Maranhao;BOM LUGAR;Total;2.928;1.375
Maranhao;BOM LUGAR;Estadual;0;0
Maranhao;BOM LUGAR;Municipal;2.928;1.375
Maranhao;BREJO;Total;3.556;3.434
Maranhao;BREJO;Estadual;0;1.147
Maranhao;BREJO;Municipal;3.445;2.254
Maranhao;BREJO;Privada;111;33
Maranhao;BREJO DE AREIA;Total;1.950;1.215
Maranhao;BREJO DE AREIA;Estadual;0;0
Maranhao;BREJO DE AREIA;Municipal;1.950;1.215
Maranhao;BURITI;Total;4.119;2.735
Maranhao;BURITI;Estadual;0;476
Maranhao;BURITI;Municipal;4.072;2.259
Maranhao;BURITI;Privada;47;0
Maranhao;BURITI BRAVO;Total;4.315;2.539
Maranhao;BURITI BRAVO;Estadual;1.183;1.223
Maranhao;BURITI BRAVO;Municipal;3.132;1.233
Maranhao;BURITI BRAVO;Privada;0;83
Maranhao;BURITICUPU;Total;594;434
Maranhao;BURITICUPU;Estadual;400;256
Maranhao;BURITICUPU;Municipal;0;0
Maranhao;BURITICUPU;Privada;194;178
Maranhao;BURITIRANA;Total;2.174;1.537
Maranhao;BURITIRANA;Estadual;0;0
Maranhao;BURITIRANA;Municipal;2.174;1.537
Maranhao;CACHOEIRA GRANDE;Total;1.364;1.013
Maranhao;CACHOEIRA GRANDE;Estadual;44;161
Maranhao;CACHOEIRA GRANDE;Municipal;1.320;852
Maranhao;CAJAPIO;Total;1.369;881
Maranhao;CAJAPIO;Estadual;212;412
Maranhao;CAJAPIO;Municipal;1.157;469
Maranhao;CAJARI;Total;3.302;1.861
Maranhao;CAJARI;Estadual;327;391
Maranhao;CAJARI;Municipal;2.975;1.470
Maranhao;CAJARI;Privada;0;0
Maranhao;CAMPESTRE DO MARANHAO;Total;1.761;1.625
Maranhao;CAMPESTRE DO MARANHAO;Estadual;0;404
Maranhao;CAMPESTRE DO MARANHAO;Municipal;1.761;1.221
Maranhao;CAMPESTRE DO MARANHAO;Privada;0;0
Maranhao;CANDIDO MENDES;Total;3.247;1.895
Maranhao;CANDIDO MENDES;Estadual;0;997
Maranhao;CANDIDO MENDES;Municipal;3.247;898
Maranhao;CANTANHEDE;Total;2.924;1.796
Maranhao;CANTANHEDE;Estadual;112;482
Maranhao;CANTANHEDE;Municipal;2.812;1.314
Maranhao;CAPINZAL DO NORTE;Total;1.489;988
Maranhao;CAPINZAL DO NORTE;Estadual;0;391
Maranhao;CAPINZAL DO NORTE;Municipal;1.489;597
Maranhao;CAROLINA;Total;643;2.073
Maranhao;CAROLINA;Estadual;384;1.223
Maranhao;CAROLINA;Municipal;0;653
Maranhao;CAROLINA;Privada;259;197
Maranhao;CARUTAPERA;Total;3.752;2.662
Maranhao;CARUTAPERA;Estadual;0;163
Maranhao;CARUTAPERA;Municipal;3.752;2.499
Maranhao;CAXIAS;Total;15.366;15.090
Maranhao;CAXIAS;Estadual;2.172;5.970
Maranhao;CAXIAS;Municipal;12.426;8.348
Maranhao;CAXIAS;Privada;768;772
Maranhao;CEDRAL;Total;1.194;1.018
Maranhao;CEDRAL;Estadual;181;272
Maranhao;CEDRAL;Municipal;1.013;746
Maranhao;CENTRAL DO MARANHAO;Total;1.131;808
Maranhao;CENTRAL DO MARANHAO;Estadual;0;341
Maranhao;CENTRAL DO MARANHAO;Municipal;1.131;467
Maranhao;CENTRO DO GUILHERME;Total;1.347;500
Maranhao;CENTRO DO GUILHERME;Estadual;0;0
Maranhao;CENTRO DO GUILHERME;Municipal;1.347;500
Maranhao;CENTRO NOVO DO MARANHAO;Total;4.818;1.426
Maranhao;CENTRO NOVO DO MARANHAO;Estadual;269;0
Maranhao;CENTRO NOVO DO MARANHAO;Municipal;4.549;1.426
Maranhao;CHAPADINHA;Total;9.477;5.638
Maranhao;CHAPADINHA;Estadual;0;1.677
Maranhao;CHAPADINHA;Municipal;8.844;3.513
Maranhao;CHAPADINHA;Privada;633;448
Maranhao;CIDELANDIA;Total;1.830;1.363
Maranhao;CIDELANDIA;Estadual;27;243
Maranhao;CIDELANDIA;Municipal;1.803;1.120
Maranhao;CIDELANDIA;Privada;0;0
Maranhao;CODO;Total;15.483;10.097
Maranhao;CODO;Estadual;370;1.958
Maranhao;CODO;Federal;0;0
Maranhao;CODO;Municipal;14.325;7.514
Maranhao;CODO;Privada;788;625
Maranhao;COELHO NETO;Total;6.732;5.252
Maranhao;COELHO NETO;Estadual;0;1.193
Maranhao;COELHO NETO;Municipal;6.295;3.760
Maranhao;COELHO NETO;Privada;437;299
Maranhao;COLINAS;Total;4.752;3.589
Maranhao;COLINAS;Estadual;738;1.404
Maranhao;COLINAS;Municipal;3.869;2.090
Maranhao;COLINAS;Privada;145;95
Maranhao;CONCEICAO DO LAGO-ACU;Total;3.560;1.226
Maranhao;CONCEICAO DO LAGO-ACU;Estadual;0;0
Maranhao;CONCEICAO DO LAGO-ACU;Municipal;3.560;1.226
Maranhao;COROATA;Total;10.008;6.218
Maranhao;COROATA;Estadual;759;1.191
Maranhao;COROATA;Municipal;8.964;4.703
Maranhao;COROATA;Privada;285;324
Maranhao;CURURUPU;Total;4.279;3.522
Maranhao;CURURUPU;Estadual;901;1.593
Maranhao;CURURUPU;Municipal;3.299;1.893
Maranhao;CURURUPU;Privada;79;36
Maranhao;DAVINOPOLIS;Total;2.118;1.321
Maranhao;DAVINOPOLIS;Estadual;0;275
Maranhao;DAVINOPOLIS;Municipal;2.118;1.046
Maranhao;DAVINOPOLIS;Privada;0;0
Maranhao;DOM PEDRO;Total;4.979;2.338
Maranhao;DOM PEDRO;Estadual;142;1.319
Maranhao;DOM PEDRO;Municipal;4.710;817
Maranhao;DOM PEDRO;Privada;127;202
Maranhao;DUQUE BACELAR;Total;2.041;1.202
Maranhao;DUQUE BACELAR;Estadual;143;307
Maranhao;DUQUE BACELAR;Municipal;1.898;895
Maranhao;ESPERANTINOPOLIS;Total;2.267;1.935
Maranhao;ESPERANTINOPOLIS;Estadual;397;564
Maranhao;ESPERANTINOPOLIS;Municipal;1.817;1.342
Maranhao;ESPERANTINOPOLIS;Privada;53;29
Maranhao;ESTREITO;Total;4.318;2.797
Maranhao;ESTREITO;Estadual;0;772
Maranhao;ESTREITO;Municipal;4.200;1.958
Maranhao;ESTREITO;Privada;118;67
Maranhao;FEIRA NOVA DO MARANHAO;Total;1.375;808
Maranhao;FEIRA NOVA DO MARANHAO;Estadual;0;0
Maranhao;FEIRA NOVA DO MARANHAO;Municipal;1.375;808
Maranhao;FERNANDO FALCAO;Total;2.199;494
Maranhao;FERNANDO FALCAO;Estadual;567;0
Maranhao;FERNANDO FALCAO;Municipal;1.632;494
Maranhao;FORMOSA DA SERRA NEGRA;Total;0;0
Maranhao;FORMOSA DA SERRA NEGRA;Estadual;0;0
Maranhao;FORMOSA DA SERRA NEGRA;Municipal;0;0
Maranhao;FORMOSA DA SERRA NEGRA;Privada;0;0
Maranhao;FORTALEZA DOS NOGUEIRAS;Total;2.278;1.300
Maranhao;FORTALEZA DOS NOGUEIRAS;Estadual;391;649
Maranhao;FORTALEZA DOS NOGUEIRAS;Municipal;1.887;651
Maranhao;FORTALEZA DOS NOGUEIRAS;Privada;0;0
Maranhao;FORTUNA;Total;2.514;1.706
Maranhao;FORTUNA;Estadual;515;577
Maranhao;FORTUNA;Municipal;1.975;1.129
Maranhao;FORTUNA;Privada;24;0
Maranhao;GODOFREDO VIANA;Total;943;722
Maranhao;GODOFREDO VIANA;Estadual;172;207
Maranhao;GODOFREDO VIANA;Municipal;771;515
Maranhao;GONCALVES DIAS;Total;2.757;1.182
Maranhao;GONCALVES DIAS;Estadual;419;502
Maranhao;GONCALVES DIAS;Municipal;2.338;680
Maranhao;GOVERNADOR ARCHER;Total;1.794;982
Maranhao;GOVERNADOR ARCHER;Estadual;224;455
Maranhao;GOVERNADOR ARCHER;Municipal;1.570;527
Maranhao;GOVERNADOR EDISON LOBAO;Total;1.497;1.270
Maranhao;GOVERNADOR EDISON LOBAO;Estadual;0;137
Maranhao;GOVERNADOR EDISON LOBAO;Municipal;1.497;1.133
Maranhao;GOVERNADOR EDISON LOBAO;Privada;0;0
Maranhao;GOVERNADOR EUGENIO BARROS;Total;1.819;1.347
Maranhao;GOVERNADOR EUGENIO BARROS;Estadual;160;149
Maranhao;GOVERNADOR EUGENIO BARROS;Municipal;1.659;1.198
Maranhao;GOVERNADOR LUIZ ROCHA;Total;1.582;881
Maranhao;GOVERNADOR LUIZ ROCHA;Estadual;0;0
Maranhao;GOVERNADOR LUIZ ROCHA;Municipal;1.582;881
Maranhao;GOVERNADOR NEWTON BELLO;Total;1.898;810
Maranhao;GOVERNADOR NEWTON BELLO;Estadual;0;169
Maranhao;GOVERNADOR NEWTON BELLO;Municipal;1.898;641
Maranhao;GOVERNADOR NUNES FREIRE;Total;3.951;2.256
Maranhao;GOVERNADOR NUNES FREIRE;Estadual;0;0
Maranhao;GOVERNADOR NUNES FREIRE;Municipal;3.951;2.256
Maranhao;GOVERNADOR NUNES FREIRE;Privada;0;0
Maranhao;GRACA ARANHA;Total;810;616
Maranhao;GRACA ARANHA;Estadual;31;190
Maranhao;GRACA ARANHA;Municipal;779;426
Maranhao;GRAJAU;Total;12.077;7.042
Maranhao;GRAJAU;Estadual;3.547;1.581
Maranhao;GRAJAU;Municipal;8.345;5.234
Maranhao;GRAJAU;Privada;185;227
Maranhao;GUIMARAES;Total;2.234;1.541
Maranhao;GUIMARAES;Estadual;614;768
Maranhao;GUIMARAES;Municipal;1.620;773
Maranhao;GUIMARAES;Privada;0;0
Maranhao;HUMBERTO DE CAMPOS;Total;3.798;2.542
Maranhao;HUMBERTO DE CAMPOS;Estadual;122;493
Maranhao;HUMBERTO DE CAMPOS;Municipal;3.617;2.049
Maranhao;HUMBERTO DE CAMPOS;Privada;59;0
Maranhao;ICATU;Total;4.646;2.273
Maranhao;ICATU;Estadual;171;288
Maranhao;ICATU;Municipal;4.445;1.985
Maranhao;ICATU;Privada;30;0
Maranhao;IGARAPE DO MEIO;Total;2.151;1.299
Maranhao;IGARAPE DO MEIO;Estadual;0;0
Maranhao;IGARAPE DO MEIO;Municipal;2.151;1.299
Maranhao;IGARAPE GRANDE;Total;1.451;1.365
Maranhao;IGARAPE GRANDE;Estadual;257;529
Maranhao;IGARAPE GRANDE;Municipal;1.181;836
Maranhao;IGARAPE GRANDE;Privada;13;0
Maranhao;IMPERATRIZ;Total;4.298;11.480
Maranhao;IMPERATRIZ;Estadual;372;7.821
Maranhao;IMPERATRIZ;Federal;0;0
Maranhao;IMPERATRIZ;Municipal;0;0
Maranhao;IMPERATRIZ;Privada;3.926;3.659
Maranhao;ITAIPAVA DO GRAJAU;Total;2.994;1.472
Maranhao;ITAIPAVA DO GRAJAU;Estadual;428;0
Maranhao;ITAIPAVA DO GRAJAU;Municipal;2.566;1.472
Maranhao;ITAPECURU MIRIM;Total;7.056;6.111
Maranhao;ITAPECURU MIRIM;Estadual;788;2.132
Maranhao;ITAPECURU MIRIM;Municipal;5.926;3.714
Maranhao;ITAPECURU MIRIM;Privada;342;265
Maranhao;ITINGA DO MARANHAO;Total;3.733;2.734
Maranhao;ITINGA DO MARANHAO;Estadual;0;248
Maranhao;ITINGA DO MARANHAO;Municipal;3.424;2.361
Maranhao;ITINGA DO MARANHAO;Privada;309;125
Maranhao;JATOBA;Total;1.446;1.233
Maranhao;JATOBA;Estadual;0;0
Maranhao;JATOBA;Municipal;1.446;1.233
Maranhao;JENIPAPO DOS VIEIRAS;Total;4.254;1.424
Maranhao;JENIPAPO DOS VIEIRAS;Estadual;1.758;0
Maranhao;JENIPAPO DOS VIEIRAS;Municipal;2.496;1.424
Maranhao;JOAO LISBOA;Total;5.627;3.281
Maranhao;JOAO LISBOA;Estadual;0;443
Maranhao;JOAO LISBOA;Municipal;5.533;2.832
Maranhao;JOAO LISBOA;Privada;94;6
Maranhao;JOSELANDIA;Total;3.877;1.188
Maranhao;JOSELANDIA;Estadual;0;494
Maranhao;JOSELANDIA;Municipal;3.751;694
Maranhao;JOSELANDIA;Privada;126;0
Maranhao;JUNCO DO MARANHAO;Total;1.082;499
Maranhao;JUNCO DO MARANHAO;Estadual;99;134
Maranhao;JUNCO DO MARANHAO;Municipal;983;365
Maranhao;LAGO DA PEDRA;Total;5.560;5.128
Maranhao;LAGO DA PEDRA;Estadual;508;1.233
Maranhao;LAGO DA PEDRA;Municipal;4.804;3.624
Maranhao;LAGO DA PEDRA;Privada;248;271
Maranhao;LAGO DO JUNCO;Total;1.389;1.119
Maranhao;LAGO DO JUNCO;Estadual;168;237
Maranhao;LAGO DO JUNCO;Municipal;1.221;800
Maranhao;LAGO DO JUNCO;Privada;0;82
Maranhao;LAGO DOS RODRIGUES;Total;1.217;1.073
Maranhao;LAGO DOS RODRIGUES;Estadual;62;392
Maranhao;LAGO DOS RODRIGUES;Municipal;1.155;681
Maranhao;LAGO VERDE;Total;2.221;1.547
Maranhao;LAGO VERDE;Estadual;0;503
Maranhao;LAGO VERDE;Municipal;2.221;1.044
Maranhao;LAGOA DO MATO;Total;1.586;897
Maranhao;LAGOA DO MATO;Estadual;0;85
Maranhao;LAGOA DO MATO;Municipal;1.586;812
Maranhao;LAGOA GRANDE DO MARANHAO;Total;1.940;814
Maranhao;LAGOA GRANDE DO MARANHAO;Estadual;0;0
Maranhao;LAGOA GRANDE DO MARANHAO;Municipal;1.940;814
Maranhao;LAJEADO NOVO;Total;1.106;795
Maranhao;LAJEADO NOVO;Estadual;43;0
Maranhao;LAJEADO NOVO;Municipal;1.063;795
Maranhao;LIMA CAMPOS;Total;1.887;1.190
Maranhao;LIMA CAMPOS;Estadual;35;582
Maranhao;LIMA CAMPOS;Municipal;1.845;608
Maranhao;LIMA CAMPOS;Privada;7;0
Maranhao;LORETO;Total;1.570;862
Maranhao;LORETO;Estadual;211;321
Maranhao;LORETO;Municipal;1.331;541
Maranhao;LORETO;Privada;28;0
Maranhao;LUIS DOMINGUES;Total;1.134;576
Maranhao;LUIS DOMINGUES;Estadual;82;245
Maranhao;LUIS DOMINGUES;Municipal;1.052;331
Maranhao;MAGALHAES DE ALMEIDA;Total;2.204;1.506
Maranhao;MAGALHAES DE ALMEIDA;Estadual;0;529
Maranhao;MAGALHAES DE ALMEIDA;Municipal;2.147;977
Maranhao;MAGALHAES DE ALMEIDA;Privada;57;0
Maranhao;MARACACUME;Total;3.583;1.928
Maranhao;MARACACUME;Estadual;0;0
Maranhao;MARACACUME;Municipal;3.330;1.867
Maranhao;MARACACUME;Privada;253;61
Maranhao;MARAJA DO SENA;Total;2.101;602
Maranhao;MARAJA DO SENA;Estadual;0;0
Maranhao;MARAJA DO SENA;Municipal;2.101;543
Maranhao;MARAJA DO SENA;Privada;0;59
Maranhao;MARANHAOZINHO;Total;2.627;857
Maranhao;MARANHAOZINHO;Estadual;0;0
Maranhao;MARANHAOZINHO;Municipal;2.552;857
Maranhao;MARANHAOZINHO;Privada;75;0
Maranhao;MATA ROMA;Total;2.134;1.692
Maranhao;MATA ROMA;Estadual;0;393
Maranhao;MATA ROMA;Municipal;2.134;1.299
Maranhao;MATA ROMA;Privada;0;0
Maranhao;MATINHA;Total;3.760;2.953
Maranhao;MATINHA;Estadual;736;596
Maranhao;MATINHA;Municipal;3.024;2.277
Maranhao;MATINHA;Privada;0;80
Maranhao;MATOES;Total;4.609;3.108
Maranhao;MATOES;Estadual;146;376
Maranhao;MATOES;Municipal;4.463;2.732
Maranhao;MATOES;Privada;0;0
Maranhao;MATOES DO NORTE;Total;2.214;760
Maranhao;MATOES DO NORTE;Estadual;0;0
Maranhao;MATOES DO NORTE;Municipal;2.214;760
Maranhao;MILAGRES DO MARANHAO;Total;1.281;675
Maranhao;MILAGRES DO MARANHAO;Estadual;0;0
Maranhao;MILAGRES DO MARANHAO;Municipal;1.281;675
Maranhao;MIRADOR;Total;3.381;2.031
Maranhao;MIRADOR;Estadual;1.105;1.563
Maranhao;MIRADOR;Municipal;2.157;383
Maranhao;MIRADOR;Privada;119;85
Maranhao;MIRANDA DO NORTE;Total;3.676;2.524
Maranhao;MIRANDA DO NORTE;Estadual;0;0
Maranhao;MIRANDA DO NORTE;Municipal;3.676;2.524
Maranhao;MIRANDA DO NORTE;Privada;0;0
Maranhao;MIRINZAL;Total;1.789;1.359
Maranhao;MIRINZAL;Estadual;643;714
Maranhao;MIRINZAL;Municipal;1.146;645
Maranhao;MONCAO;Total;4.974;2.264
Maranhao;MONCAO;Estadual;0;742
Maranhao;MONCAO;Municipal;4.974;1.522
Maranhao;MONCAO;Privada;0;0
Maranhao;MONTES ALTOS;Total;1.451;648
Maranhao;MONTES ALTOS;Estadual;314;317
Maranhao;MONTES ALTOS;Municipal;1.080;331
Maranhao;MONTES ALTOS;Privada;57;0
Maranhao;MORROS;Total;2.906;1.414
Maranhao;MORROS;Estadual;504;767
Maranhao;MORROS;Municipal;2.402;647
Maranhao;MORROS;Privada;0;0
Maranhao;NINA RODRIGUES;Total;1.459;1.070
Maranhao;NINA RODRIGUES;Estadual;318;304
Maranhao;NINA RODRIGUES;Municipal;1.141;766
Maranhao;NOVA COLINAS;Total;929;639
Maranhao;NOVA COLINAS;Estadual;0;0
Maranhao;NOVA COLINAS;Municipal;929;639
Maranhao;NOVA IORQUE;Total;709;533
Maranhao;NOVA IORQUE;Estadual;98;238
Maranhao;NOVA IORQUE;Municipal;611;295
Maranhao;NOVA OLINDA DO MARANHAO;Total;3.441;1.842
Maranhao;NOVA OLINDA DO MARANHAO;Estadual;28;185
Maranhao;NOVA OLINDA DO MARANHAO;Municipal;3.413;1.657
Maranhao;OLHO D'AGUA DAS CUNHAS;Total;2.959;1.792
Maranhao;OLHO D'AGUA DAS CUNHAS;Estadual;295;747
Maranhao;OLHO D'AGUA DAS CUNHAS;Municipal;2.664;1.045
Maranhao;OLINDA NOVA DO MARANHAO;Total;1.416;1.099
Maranhao;OLINDA NOVA DO MARANHAO;Estadual;0;112
Maranhao;OLINDA NOVA DO MARANHAO;Municipal;1.416;987
Maranhao;PACO DO LUMIAR;Total;4.974;5.843
Maranhao;PACO DO LUMIAR;Estadual;3.367;5.177
Maranhao;PACO DO LUMIAR;Municipal;0;0
Maranhao;PACO DO LUMIAR;Privada;1.607;666
Maranhao;PALMEIRANDIA;Total;2.318;2.136
Maranhao;PALMEIRANDIA;Estadual;146;1.031
Maranhao;PALMEIRANDIA;Municipal;2.172;1.105
Maranhao;PARAIBANO;Total;3.696;2.344
Maranhao;PARAIBANO;Estadual;0;1.033
Maranhao;PARAIBANO;Municipal;3.696;1.311
Maranhao;PARNARAMA;Total;5.776;3.140
Maranhao;PARNARAMA;Estadual;42;804
Maranhao;PARNARAMA;Municipal;5.734;2.336
Maranhao;PASSAGEM FRANCA;Total;2.699;1.412
Maranhao;PASSAGEM FRANCA;Estadual;0;727
Maranhao;PASSAGEM FRANCA;Municipal;2.699;685
Maranhao;PASTOS BONS;Total;1.825;1.637
Maranhao;PASTOS BONS;Estadual;209;596
Maranhao;PASTOS BONS;Municipal;1.616;1.041
Maranhao;PAULINO NEVES;Total;3.109;2.053
Maranhao;PAULINO NEVES;Estadual;0;0
Maranhao;PAULINO NEVES;Municipal;3.109;2.053
Maranhao;PAULO RAMOS;Total;5.150;1.936
Maranhao;PAULO RAMOS;Estadual;272;374
Maranhao;PAULO RAMOS;Municipal;4.878;1.473
Maranhao;PAULO RAMOS;Privada;0;89
Maranhao;PEDREIRAS;Total;4.739;4.246
Maranhao;PEDREIRAS;Estadual;777;1.635
Maranhao;PEDREIRAS;Municipal;3.367;1.949
Maranhao;PEDREIRAS;Privada;595;662
Maranhao;PEDRO DO ROSARIO;Total;3.862;2.213
Maranhao;PEDRO DO ROSARIO;Estadual;0;0
Maranhao;PEDRO DO ROSARIO;Municipal;3.862;2.213
Maranhao;PENALVA;Total;5.867;3.216
Maranhao;PENALVA;Estadual;0;900
Maranhao;PENALVA;Municipal;5.867;2.316
Maranhao;PENALVA;Privada;0;0
Maranhao;PERI MIRIM;Total;3.075;1.041
Maranhao;PERI MIRIM;Estadual;318;483
Maranhao;PERI MIRIM;Municipal;2.757;558
Maranhao;PERI MIRIM;Privada;0;0
Maranhao;PERITORO;Total;30;192
Maranhao;PERITORO;Estadual;30;192
Maranhao;PERITORO;Municipal;0;0
Maranhao;PERITORO;Privada;0;0
Maranhao;PINDARE MIRIM;Total;4.910;3.456
Maranhao;PINDARE MIRIM;Estadual;532;1.418
Maranhao;PINDARE MIRIM;Municipal;4.236;1.998
Maranhao;PINDARE MIRIM;Privada;142;40
Maranhao;PINHEIRO;Total;10.402;8.798
Maranhao;PINHEIRO;Estadual;727;1.737
Maranhao;PINHEIRO;Municipal;9.288;6.735
Maranhao;PINHEIRO;Privada;387;326
Maranhao;PIO XII;Total;3.729;1.841
Maranhao;PIO XII;Estadual;123;1.222
Maranhao;PIO XII;Municipal;3.559;619
Maranhao;PIO XII;Privada;47;0
Maranhao;PIRAPEMAS;Total;2.455;1.890
Maranhao;PIRAPEMAS;Estadual;198;383
Maranhao;PIRAPEMAS;Municipal;2.257;1.507
Maranhao;POCAO DE PEDRAS;Total;4.088;2.951
Maranhao;POCAO DE PEDRAS;Estadual;67;533
Maranhao;POCAO DE PEDRAS;Municipal;4.021;2.369
Maranhao;POCAO DE PEDRAS;Privada;0;49
Maranhao;PORTO FRANCO;Total;2.398;1.817
Maranhao;PORTO FRANCO;Estadual;0;144
Maranhao;PORTO FRANCO;Municipal;2.148;1.618
Maranhao;PORTO FRANCO;Privada;250;55
Maranhao;PORTO RICO DO MARANHAO;Total;725;833
